reporter_iso3,year,hs_cmd,imports_from_china_usd
THA,2020,84,1404.931
THA,2020,84,6.468
THA,2020,85,506.376
THA,2020,85,140243679.89
THA,2020,85,13522904.771
THA,2020,85,347120.321
THA,2020,85,124414727.222
THA,2020,85,14243.782
THA,2020,85,3480082647.289
THA,2020,85,34023271.472
THA,2020,85,298.281
THA,2020,85,1884697.66
THA,2020,85,3730237.305
THA,2020,85,466574.71
THA,2020,85,3488005.665
THA,2020,85,2625933.893
THA,2020,85,65936.115
THA,2020,85,130527954.144
THA,2020,85,4364121.597
THA,2020,85,407658.175
THA,2020,85,6452507238.032
THA,2020,85,237944.319
THA,2020,85,7238472100.681
THA,2020,85,4169162.972
THA,2020,84,3347086.396
THA,2020,84,16049.542
THA,2020,85,407.461
THA,2020,85,153189.312
THA,2020,84,265682.79
THA,2020,85,55861.018
THA,2020,85,847797.912
THA,2020,84,1777.884
THA,2020,84,2253.694
THA,2020,84,4450.909
THA,2020,84,192.911
THA,2020,84,164321.933
THA,2020,85,662.192
THA,2020,85,967.817
THA,2020,85,94119.301
THA,2020,85,7871.768
THA,2020,84,55474.115
THA,2020,84,63170226.826
THA,2020,84,375374.944
THA,2020,85,1177988.218
THA,2020,84,630644.041
THA,2020,84,1329147.508
THA,2020,84,492000.155
THA,2020,84,85026.22
THA,2020,85,23393.468
THA,2020,84,65008.607
THA,2020,84,1027103.522
THA,2020,84,2766560.414
THA,2020,84,252025282.771
THA,2020,84,13245885.246
THA,2020,85,120.04
THA,2020,85,2625933.893
THA,2020,84,9917600.598
THA,2020,84,455970.888
THA,2020,84,16394944.321
THA,2020,84,141072.365
THA,2020,84,478660.202
THA,2020,85,6512358.76
THA,2020,85,30101400.272
THA,2020,85,4674.637
THA,2020,85,645948.95
THA,2020,85,4361.594
THA,2020,85,345642.952
THA,2020,85,28201718.27
THA,2020,85,404826.204
THA,2020,85,298.281
THA,2020,85,1170590.491
THA,2020,85,342985.089
THA,2020,85,922.429
THA,2020,85,765526157.285
THA,2020,85,14243.782
THA,2020,85,1756845978.282
THA,2020,84,1403741884.201
THA,2020,85,51.403
THA,2020,84,629.987
THA,2020,84,2419175.108
THA,2020,85,328999.994
THA,2020,85,73559.997
THA,2020,85,2208335.124
THA,2020,84,4662.024
THA,2020,84,2486994.436
THA,2020,84,1930.061
THA,2020,84,1264.557
THA,2020,84,8948.323
THA,2020,85,68803.087
THA,2020,84,5131.498
THA,2020,84,11448.045
THA,2020,85,23768.283
THA,2020,85,15.01
THA,2020,85,354.622
THA,2020,85,4198.146
THA,2020,84,6280419.862
THA,2020,85,1050.153
THA,2020,84,7530.944
THA,2020,84,16397.354
THA,2020,84,1565.781
THA,2020,85,68803.087
THA,2020,84,11448.045
THA,2020,84,521586.695
THA,2020,85,1518.788
THA,2020,85,15548.885
THA,2020,84,492.645
THA,2020,84,1295593.425
THA,2020,85,354.622
THA,2020,84,357.782
THA,2020,85,407.461
THA,2020,85,1234.308
THA,2020,84,1569.002
THA,2020,85,68232.795
THA,2020,85,164959908.876
THA,2020,85,183107.913
THA,2020,85,424199.966
THA,2020,84,91531556.982
THA,2020,85,6110905.163
THA,2020,84,20917.525
THA,2020,85,146284.924
THA,2020,84,5854780.934
THA,2020,85,1303775.706
THA,2020,84,476.125
THA,2020,84,8483.951
THA,2020,84,3143366.191
THA,2020,84,95759.439
THA,2020,84,103285.258
THA,2020,85,2228962.566
THA,2020,85,704010.175
THA,2020,85,198199.488
THA,2020,85,65936.115
THA,2020,85,2305477.608
THA,2020,84,1324470.031
THA,2020,84,1128766.603
THA,2020,84,2019447.762
THA,2020,85,311788778.248
THA,2020,85,158593119.344
THA,2020,85,2042667.991
THA,2020,85,28569.456
THA,2020,85,1001.542
THA,2020,84,1080420895.843
THA,2020,85,121.754
THA,2020,84,2280.098
THA,2020,85,2566.737
THA,2020,85,62.46
THA,2020,85,2200.005
THA,2020,85,989.01
THA,2020,84,41753.106
THA,2020,85,952.885
THA,2020,84,27220.839
THA,2020,84,16695.785
THA,2020,85,7792.93
THA,2020,84,16397.354
THA,2020,85,10811.492
THA,2020,84,3475.649
THA,2020,84,172188.918
THA,2020,84,44.398
THA,2020,85,15548.885
THA,2020,84,4450.909
THA,2020,84,15478.509
THA,2020,85,8075.591
THA,2020,85,2521.778
THA,2020,85,633.048
THA,2020,84,28327.495
THA,2020,84,559.251
THA,2020,84,44.398
THA,2020,84,2223.866
THA,2020,85,30290.966
THA,2020,85,1182528.057
THA,2020,85,1853214.145
THA,2020,85,251211.032
THA,2020,84,831773.67
THA,2020,84,792669661.509
THA,2020,84,4.709
THA,2020,84,5028.221
THA,2020,84,246064.384
