,niip_gdp,cape,savings,mfg_share,yield_10y
2017-04-01,-40946.47450441885,32.4,6.0,8.456115398241439,2.260952380952381
2017-07-01,-39323.12120368087,32.7,6.0,8.456559088103774,2.2414285714285715
2017-10-01,-39081.142928553294,33.0,5.533333333333334,8.46747970669013,2.371451612903226
2018-01-01,-39079.95812589317,33.3,5.8,8.480747579791135,2.7585245901639346
2018-04-01,-43317.94917543013,32.5,6.1000000000000005,8.489600177140465,2.920625
2018-07-01,-46484.73248126208,31.7,6.633333333333333,8.505210255022051,2.9238095238095236
2018-10-01,-46829.92295533766,30.9,7.2,8.516034910917154,3.0411475409836064
2019-01-01,-49024.74469012297,30.1,8.266666666666667,8.51646198488603,2.652950819672131
2019-04-01,-50185.68144276332,30.825000000000003,7.333333333333333,8.483634579653483,2.338888888888889
2019-07-01,-53047.36054249423,31.55,6.8999999999999995,8.460531235725135,1.79796875
2019-10-01,-53190.738048139494,32.275,6.733333333333333,8.412448846200178,1.7919354838709676
2020-01-01,-57967.74877825345,33.0,8.9,8.385475714712934,1.365
2020-04-01,-68139.33617863373,34.325,24.233333333333334,8.711200175396105,0.6876190476190476
2020-07-01,-66625.18359725249,35.65,15.033333333333333,8.54108743374118,0.650625
2020-10-01,-66649.60094462121,36.974999999999994,12.200000000000001,8.499770667148058,0.864516129032258
2021-01-01,-66356.37632412731,38.3,19.566666666666666,8.489027192098275,1.3359016393442622
2021-04-01,-68722.25241196607,38.775,10.4,8.417582785221787,1.59078125
2021-07-01,-68587.28235426519,39.25,8.6,8.385479222410584,1.32484375
2021-10-01,-75895.96027984655,39.725,6.733333333333333,8.375017126964885,1.5333870967741934
2022-01-01,-72606.89526365716,40.2,3.8333333333333335,8.368761757829596,1.9511290322580646
2022-04-01,-64382.23581404982,37.375,2.466666666666667,8.385090790860419,2.9325806451612904
2022-07-01,-64050.54407026894,34.55,3.3000000000000003,8.365141376523463,3.10109375
2022-10-01,-60370.26408981166,31.725,3.8000000000000003,8.361536404412414,3.82672131147541
2023-01-01,-61638.1676592957,28.9,5.466666666666666,8.32065632882165,3.646290322580645
2023-04-01,-66506.35460045394,29.424999999999997,5.8999999999999995,8.273132706457565,3.5957142857142856
2023-07-01,-65147.22467222082,29.95,5.466666666666666,8.234114970822807,4.14968253968254
2023-10-01,-71826.64442593318,30.475,5.533333333333334,8.203581433403185,4.4470967741935485
2024-01-01,-76692.50914400264,31.0,6.133333333333333,8.174721169892162,4.15639344262295
2024-04-01,-79617.38761570469,31.625,5.766666666666667,8.13649153242924,4.448730158730158
2024-07-01,-83053.71733698243,32.25,5.1000000000000005,8.0977300292664,3.9546875
2024-10-01,-88983.43017655349,32.875,4.733333333333333,8.032433275882072,4.275483870967742
2025-01-01,-82061.23517343804,33.5,5.133333333333333,8.002864596374083,4.453606557377049
